# language-input-glosspack-v1
# language=en
# source=CC-CEDICT (MDBG)
# source_sha256=1ACC073BCFE431C6002901ED8D19A16E32C4AD8D54F85BD746C4A4F50A2C589D
# license=CC-BY-SA-4.0 https://creativecommons.org/licenses/by-sa/4.0/
䗪	Chinese ground beetle (Eupolyphaga sinensis)
䗬	variant of 蜂
䗶	old variant of 蜡
䘏	variant of 恤
䘑	old variant of 脉
䘚	variant of 卒
䙓	variant of 摆
䛐	old variant of 词
䛟	variant of 唊
䜣	pleased; delighted
䜩	variant of 宴
䝓	old variant of 鬣
䝔	variant of 獾
䝙	(archaic) animal resembling a tiger
䞓	old variant of 赪
䟆	old variant of 跸
䠀	to squat; to sit
䠞	variant of 蹙
䠶	old variant of 射
䠷	used in 高䠷
䢺	(used in place names)
䤈	old variant of 醯
䥑	meitnerium (chemistry)
䥥	old variant of 镰
䦆	variant of 镢
䦉	variant of 肆
䦕	variant of 閛
䩄	used in 䩄觍
䩄觍	variant of 腼腆
䩦	variant of 鞗
䫏	variant of 魌
䬃	variant of 飒
䬠	old variant of 霏
䬪	variant of 馎
䭾	variant of 驮
䯄	piebald horse
䯝	variant of 髓
䰟	old variant of 魂
䰾	used in 鲃鱼
䰾魚	barbel (fish)
䲁	blenny
䲔	old variant of 鲸
䲘	Ochetobius elongatus, species of cyprinid fish found in eastern Asia
䲟	shark sucker (Echeneis naucrates)
䲠	see 䲠鱼
䲠鱼	Japanese Spanish mackerel (Scomberomorus niphonius); see 马鲛鱼
䳗	variant of 鹅
䳘	variant of 鹅
䳭	wheatear (bird of genus Oenanthe)
䴈	used in 𱉵𬸩
䴉	spoonbill; ibis
䴉嘴鷸	(bird species of China) ibisbill (Ibidorhyncha struthersii)
䴓	nuthatch (bird of genus Sitta)
䴔	a kind of aquatic bird
䴕	woodpecker
䴗	variant of 鵙
䴘	used in 䴙䴘; variant of 䴘
䴙	used in 䴙䴘; variant of 䴙
䴙䴘	(zoology) grebe (Podicipediformes); variant of 䴙䴘
䴸	variant of 麸
䵹	old variant of 蜘
䶊	old variant of 衄
䶑	variant of 嚏
䶮	(rare) character coined for use in the name of Liu Yan 刘䶮 (889–942)...
一	one; single
一一	one by one; one after another
一一对应	one-to-one correspondence
一一對應	one-to-one correspondence
一一映射	(math.) bijective map
一丁不識	(idiom) illiterate
一丁不识	(idiom) illiterate
一丁点	a tiny bit
一丁點	a tiny bit
一下	(after a verb) a bit; all at once
一下儿	erhua form of 一下
一下兒	erhua form of 一下
一下子	once; one time
一不做，二不休	lit. either don't do it, or don't rest (idiom)
一不小心	to be a little bit careless; to have a moment of inattentiveness
一世	generation; period of 30 years
一丘之貉	jackals of the same tribe (idiom)
一东一西	far apart
一丝一毫	one thread, one hair (idiom); a tiny bit
一丝不挂	not wearing one thread (idiom); absolutely naked
一丝不苟	not one thread loose (idiom); strictly according to the rules
一丟丟	a tiny bit
一丢丢	a tiny bit
一並	variant of 一并
一个	a; an
一个个	a number of; each and every one
一个中国政策	one-China policy
一个人	by oneself (without assistance); alone (without company)
一个劲	continuously; persistently
一个劲儿	erhua variant of 一个劲
一个半	one and a half
一个天南，一个地北	to live miles apart
一个头两个大	to feel as though one's head could explode (Tw)
一个将军一个令	lit. one general, one order (idiom); fig. every boss has their own rules
一个巴掌拍不响	lit. one palm alone cannot clap (proverb); it takes two to tango
一个接一个	one by one; one after another
一个样	the same; of the same type
一个萝卜一个坑	lit. every turnip to its hole (idiom); each to his own
一中一台	"one China, one Taiwan" – the notion that China and Taiwan are...
一中原则	One-China principle, the official doctrine that Taiwan is a province...
一中原則	One-China principle, the official doctrine that Taiwan is a province...
一举	a move; an action
一举一动	(idiom) every movement; each and every move
一举两得	(lit.) one action, two gains (idiom); two birds with one stone
一举成功	success at one go; to succeed at the first attempt
一举成名	(idiom) to become famous in one stroke
一举手一投足	every little move; every single movement
一之为甚	once is more than enough (idiom)
一之為甚	once is more than enough (idiom)
一之謂甚	see 一之为甚
一之谓甚	see 一之为甚
一乾二淨	thoroughly (idiom); completely
一了百了	(idiom) once the main problem is solved, all troubles are solved
一事无成	(idiom) to have achieved nothing; to be a total failure
一事無成	(idiom) to have achieved nothing; to be a total failure
一二	one or two; a few
一二九运动	December 9th Movement (1935), student protest movement calling for...
一二九運動	December 9th Movement (1935), student protest movement calling for...
一二八事变	January 28 Incident (1932), military conflict between China and...
一二八事變	January 28 Incident (1932), military conflict between China and...
一五一十	lit. count by fives and tens (idiom)
一些	some; a few
一亩三分地	a piece of land of 1.3 mu 亩; one's turf
一亲芳泽	to get close to; to get on intimate terms with
一人得道，雞犬升天	(lit.) when a person attains enlightenment and immortality, even his...
一人得道，鸡犬升天	(lit.) when a person attains enlightenment and immortality, even his...
一介不取	to not even take a penny (as a bribe)
一代	an era; an age
一代不如一代	to be getting worse with each generation
一以貫之	(idiom) (of a principle, purpose etc) consistently upheld
一以贯之	(idiom) (of a principle, purpose etc) consistently upheld
一价	monovalent (chemistry)
一众	a group of people; a whole group (esp. in formal or journalistic usage)
一会	a moment; a while
一会儿	a moment; a while
一传十，十传百	(idiom) (of news etc) to spread like wildfire
一体	an integral whole; all concerned
一体两面	two sides of the same coin
一体化	to integrate; to unify
一作	first author (of an academic paper) (abbr. for 第一作者)
一併	to lump together; to treat along with all the others
一來	firstly
一來二去	gradually; little by little
一侧化	lateralization
一個	a; an
一個中國政策	one-China policy
一個人	by oneself (without assistance); alone (without company)
一個個	a number of; each and every one
一個勁	continuously; persistently
